股票代码,股票简称,行业概念,事件概念,交易概念
300152.SZ,科融环境,"PM2.5,氢能源,污水处理,生物质能发电,脱硫脱硝,海绵城市,垃圾发电,废气处理,土壤修复,节能环保",PPP,"融资融券,创投,转融券标的"
000969.SZ,安泰科技,"人造太阳,第三代半导体,碳纤维,3D打印,光刻胶,新材料,分布式发电,稀土永磁,小金属,核电,无线充电,节能环保,氢能源,航空发动机,燃料电池,质子交换膜,5G,钼,钨,蓝宝石,液态金属","比亚迪,地方国资改革,苹果,中芯国际,华为,军工,央企国资改革,国产替代","融资融券,标普道琼斯A股,转融券标的,创投,富时罗素股,深股通,富时罗素,央企控股"
688551.SH,科威尔,"燃料电池,新能源汽车,光伏,IGBT",宁德时代,"融资融券,转融券标的"
002665.SZ,首航高科,"氢能源,融资租赁,超超临界发电,储能,绿色电力,太阳能,核电,光伏,节能环保","碳中和,碳交易","标普道琼斯A股,融资融券,深股通,转融券标的"
688025.SH,杰普特,"集成电路,光伏,钙钛矿电池","比亚迪,苹果,华为,宁德时代,专精特新","融资融券,转融券标的"
601222.SH,林洋能源,"氢能源,电力物联网,智能电网,储能,锂电池,节能照明,物联网,分布式发电,太阳能,虚拟电厂,光伏建筑一体化,绿色电力,能源互联网,磷酸铁锂,新能源,区块链,光伏,风电","蔚来汽车,华为","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
688363.SH,华熙生物,"医美,化妆护肤品",,"融资融券,沪股通,转融券标的"
000050.SZ,深天马A,"虚拟现实,多晶硅,全息手机,屏下指纹技术,全面屏,VR设备,OLED面板,OLED,裸眼3D,电子纸,电子皮肤,智能穿戴,芯片,MiniLED,体感3D,柔性屏,触摸屏,智能终端,智能眼镜,超清视频","地方国资改革,中航系,苹果,LG,华为,央企国资改革,小米","MSCI,融资融券,标普道琼斯A股,转融券标的,国开行,富时罗素股,深股通,富时罗素"
300241.SZ,瑞丰光电,"MicroLED,MiniLED,智能家居,智能终端,节能照明,雷达","华为,比亚迪",
002587.SZ,奥拓电子,"元宇宙,裸眼3D,MiniLED,虚拟现实,无人银行,智能终端,节能照明,区块链应用,虚拟数字人,机器人,区块链,金融科技","疫情监测,腾讯,智慧政务,智慧城市,世界杯,智慧灯杆",富时罗素股
603677.SH,奇精机械,"新能源汽车,家用电器",地方国资改革,股权转让
600289.SH,ST信通,"网络安全,车联网,智能物流,智能交通","京东,智慧城市",ST板块
000591.SZ,太阳能,"光伏,虚拟电厂,光伏建筑一体化,能源互联网,太阳能,绿色电力","央企国资改革,碳中和,碳交易,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
600590.SH,泰豪科技,"绿色建筑,氢能源,智能建筑,电力物联网,虚拟现实,储能,智能电网,航空航天,分布式发电,云计算,大数据,能源互联网,卫星导航,新能源,区块链,光伏,国产航母","新基建,一带一路,华为,军工,军民融合","融资融券,转融券标的"
600153.SH,建发股份,"白酒,纸浆,造纸转暖,电子商务","海峡两岸,地方国资改革","MSCI,融资融券,标普道琼斯A股,养老金持股,转融券标的,参股银行,富时罗素股,富时罗素,沪股通"
001206.SZ,依依股份,"口罩,电子商务","宠物经济,三胎,外贸受益",人民币贬值受益
300189.SZ,神农科技,"棉,农业种植,水产品,转基因,玉米,生态农业,粮食,超级稻","俄乌冲突,土地流转,乡村振兴,农垦改革","融资融券,转融券标的"
688311.SH,盟升电子,卫星导航,军工,"融资融券,转融券标的"
600032.SH,浙江新能,"氢能源,抽水蓄能,海上风电,光伏,新能源,绿色电力,风电",地方国资改革,半年报预增
000638.SZ,*ST万方,"重组蛋白,粮食,乙肝治疗,生物疫苗,增强现实,肝炎","民营医院,冬奥会,军工,地方国资改革","壳资源,ST板块"
002824.SZ,和胜股份,"新能源汽车,消费电子","宁德时代,小米,华为,比亚迪",
600589.SH,ST榕泰,"PTA,新材料,云计算,边缘计算,数据中心,网络切片",国产软件,ST板块
002259.SZ,ST升达,"风沙治理,天然气,胶合板",林场改革,"壳资源,ST板块"
000892.SZ,欢瑞世纪,"旅游,影视娱乐,文化传媒",,半年报预增
603773.SH,沃格光电,"OLED,MiniLED,OLED材料,3D玻璃,全面屏,消费电子,智能穿戴","小米,华为","标普道琼斯A股,富时罗素股"
000875.SZ,吉电股份,"氢能源,充电桩,抽水蓄能,储能,燃料电池,绿色电力,新能源,光伏,风电","地方国资改革,PPP,煤价下跌受益,中电投合并,电力改革,央企国资改革","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
002019.SZ,亿帆医药,"创新药,新材料,中医药,生物医药,可降解塑料,维生素,肝炎,光伏,胰岛素","医保目录,银屑病","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
000421.SZ,南京公用,"旅游,充电桩,天然气",地方国资改革,
600438.SH,通威股份,"预制菜,硅能源,多晶硅,HJT电池,饲料,太阳能,光伏,钙钛矿电池","农村电商,乡村振兴","MSCI,融资融券,标普道琼斯A股,转融券标的,半年报预增,富时罗素股,富时罗素,沪股通"
300066.SZ,三川智慧,"储能,互联网金融,物联网,稀土永磁,智能表","智慧城市,华为,新基建","融资融券,参股新三板,转融券标的"
002354.SZ,天娱数科,"元宇宙,影视娱乐,文化传媒,互联网金融,IP,大数据,虚拟数字人,电子竞技,手机游戏,网络游戏","抖音,东数西算（算力）,数字经济,快手",富时罗素股
000951.SZ,中国重汽,"氢能源,燃料电池,汽车制造,无人驾驶,冷链物流,新能源汽车","冬奥会,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,中字头股票,富时罗素股,深股通,富时罗素"
600500.SH,中化国际,"代糖,储能,锂电池,新材料,可降解塑料,环氧丙烷,橡胶,正极材料,动力电池回收","央企国资改革,地方国资改革,宁德时代","融资融券,标普道琼斯A股,转融券标的,中字头股票,富时罗素股,富时罗素"
000982.SZ,中银绒业,"储能,锂电池,新材料,换电,正极材料,磷酸铁锂,负极材料",新冠检测,深股通
688616.SH,西力科技,"高端装备,电力物联网,智能电网",,"融资融券,转融券标的"
600505.SH,西昌电力,"绿色电力,光伏,风电","央企国资改革,西电东送,地方国资改革",
601162.SH,天风证券,,,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,期货,富时罗素"
002142.SZ,宁波银行,,,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,优先股,深股通,富时罗素,证金持股"
300639.SZ,凯普生物,"体外诊断,幽门螺杆菌,辅助生殖,分子诊断,肝炎,基因测序","猴痘,新冠检测","养老金持股,半年报预增,送转填权,深股通,富时罗素"
000978.SZ,桂林旅游,"旅游,在线旅游","腾讯,收入改革,一带一路,地方国资改革",
300977.SZ,深圳瑞捷,数据中心,,"送转填权,融资融券,转融券标的"
601778.SH,晶科科技,"氢能源,储能,光伏,光伏建筑一体化,绿色电力",,富时罗素
002939.SZ,长城证券,,"央企国资改革,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,参股基金,富时罗素股,期货,深股通,富时罗素"
002467.SZ,二六三,"富媒体,虚拟运营商,元宇宙,虚拟现实,VR平台,云通信,网络直播,电子信息,物联网,云计算,在线教育,云办公,虚拟数字人,数据中心,SAAS,区块链,VPN","数字经济,小米,网红经济,电信业整合","融资融券,转融券标的,富时罗素股,深股通,富时罗素"
601199.SH,江南水务,"海水淡化,污水处理,固废处理,危废处理,水利,节能环保","水价改革,地方国资改革,PPP","融资融券,转融券标的"
688356.SH,键凯科技,医疗器械,,"融资融券,沪股通,转融券标的"
002546.SZ,新联电子,"能源互联网,电力物联网,智能电网",,
002596.SZ,海南瑞泽,"固废处理,园林开发,水利,水泥,旅游,垃圾分类,装配式建筑","新型城镇化,土地增值,PPP,美丽中国,特色小镇","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
600060.SH,海信视像,"家用电器,芯片,MiniLED,元宇宙,智能家居,智能电视,TMT,MCU芯片,超清视频,网络电视,数字电视","世界杯,大消费","标普道琼斯A股,融资融券,半年报预增,转融券标的,富时罗素股"
000862.SZ,银星能源,"分布式发电,光伏,新能源,绿色电力,风电","央企国资改革,一带一路,地方国资改革",
002498.SZ,汉缆股份,"氢能源,融资租赁,充电桩,仪电仪表,智能电网,储能,燃料电池,5G,核电,特高压","一带一路,新基建","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
688107.SH,安路科技,"EDA,芯片",专精特新,"融资融券,新股与次新股,转融券标的,国家大基金持股,科创次新股"
300031.SZ,宝通科技,"数字孪生,动漫,元宇宙,虚拟现实,光刻胶,无人驾驶,工业互联网,绿色轮胎,虚拟数字人,机器人,手机游戏,网络游戏",百度,"人民币贬值受益,创投,深股通"
002047.SZ,宝鹰股份,"基建工程,装配式建筑,光伏建筑一体化,元宇宙","恒大,一带一路,地方国资改革","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
300477.SZ,合纵科技,"充电桩,电力物联网,智能电网,钴,锂电池,金属镍,磷化工,正极材料,新能源汽车,磷酸铁锂,小金属,区块链,动力电池回收",比亚迪,深股通
002425.SZ,凯撒文化,"动漫,元宇宙,文化传媒,虚拟现实,云游戏,IP,手机游戏,网络游戏","阿里巴巴,快手,腾讯,抖音,华为","创投,融资融券,深股通,转融券标的"
000001.SZ,平安银行,跨境支付（CIPS）,,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,优先股,深股通,富时罗素,证金持股"
002329.SZ,皇氏集团,"富媒体,TOPCON电池,数据交易中心,免税店,乳业,SAAS,光伏,电子商务","商汤科技,智慧城市,两会",半年报预增
600187.SH,国中水务,"再生水,养老,节能环保,污水处理","美丽中国,商汤科技,水价改革,PPP","融资融券,独角兽,转融券标的"
300860.SZ,锋尚文化,"虚拟数字人,元宇宙,虚拟现实,文化传媒","冬奥会,杭州亚运会","融资融券,深股通,转融券标的"
600851.SH,海欣股份,"创新药,生物疫苗,细胞免疫治疗,抗癌",,"融资融券,转融券标的,参股券商,参股基金,参股新三板,证金持股"
300902.SZ,国安达,"安防,消防装备",,"融资融券,转融券标的"
003039.SZ,顺控发展,"垃圾发电,绿色电力",地方国资改革,"融资融券,深股通,转融券标的"
839167.BJ,同享科技,,,
002448.SZ,中原内配,"氢能源,汽车电子,燃料电池,智能汽车,MCU芯片,无人驾驶,农机,车联网","工业4.0,国六标准、国六排放、国六,华为,军工","人民币贬值受益,富时罗素股"
603886.SH,元祖股份,月饼,大消费,台湾股
300146.SZ,汤臣倍健,"智能医疗,保健品,医药电商,维生素,基因测序",迪士尼,"MSCI,融资融券,转融券标的,富时罗素股,深股通"
688156.SH,路德环境,"饲料,节能环保,污水处理",,"融资融券,转融券标的"
600707.SH,彩虹股份,"OLED,柔性屏,触摸屏,新材料,全息手机",地方国资改革,"融资融券,转融券标的"
688681.SH,科汇股份,"充电桩,智能电网,储能,特高压,虚拟电厂,柔性直流输电",专精特新,"融资融券,转融券标的"
300567.SZ,精测电子,"OLED,芯片,柔性屏,MiniLED,虚拟现实,锂电池,激光,OLED设备制造,超清视频,激光器","比亚迪,苹果,中芯国际,富士康,华为,宁德时代,国产替代,小米","融资融券,转融券标的,富时罗素股,深股通,富时罗素"
300763.SZ,锦浪科技,"储能,光伏",,"融资融券,半年报预增,转融券标的,送转填权,深股通,富时罗素"
300315.SZ,掌趣科技,"文化传媒,虚拟现实,网络直播,IP,手机游戏,网络游戏",腾讯,"融资融券,转融券标的,富时罗素股,深股通,富时罗素"
300303.SZ,聚飞光电,"MicroLED,芯片,柔性屏,MiniLED,智能终端,集成电路,节能照明,超清视频,5G,新能源汽车,IGBT","小米,华为,智慧灯杆,比亚迪","独角兽,深股通"
000921.SZ,海信家电,"家用电器,汽车热管理,空气能热泵,新能源汽车,电子商务",世界杯,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
300051.SZ,三五互联,"富媒体,虚拟运营商,动漫,电子信息,云计算,云办公,SAAS,电子商务,网络游戏","国产软件,数字中国,facebook","摘帽,创业板重组松绑"
688513.SH,苑东生物,生物医药,,"融资融券,转融券标的"
600136.SH,ST明诚,"足球,体育产业,影视娱乐,文化传媒","奥运会,世界杯,地方国资改革","明星参股,标普道琼斯A股,ST板块"
002483.SZ,润邦股份,"医疗废物处理,污水处理,固废处理,海工装备,海上风电,风电",地方国资改革,
603083.SH,剑桥科技,"智能家居,F5G,物联网,工业互联网,边缘计算,5G","华为,宽带中国,新基建","人民币贬值受益,融资融券,转融券标的"
002676.SZ,顺威股份,"智能家居,汽车制造,口罩,新能源汽车,智能表","比亚迪,地方国资改革",壳资源
688191.SH,智洋创新,智能电网,"华为,专精特新","融资融券,养老金持股,转融券标的"
300776.SZ,帝尔激光,"激光器,HJT电池,光伏,TOPCON电池",,"送转填权,深股通"
300059.SZ,东方财富,"区块链,互联网券商,互联网保险,互联网金融,小额贷款,金融信息服务,金融科技",,"MSCI,融资融券,转融券标的,富时罗素股,期货,基金三方销售,深股通,富时罗素,证金持股"
000729.SZ,燕京啤酒,啤酒,"冬奥会,世界杯,地方国资改革","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
600242.SH,*ST中昌,"数字营销,广告营销,大数据,文化传媒","谷歌,阿里巴巴,网红经济,腾讯,抖音,facebook",ST板块
601890.SH,亚星锚链,"村镇银行,海工装备,海上风电,船舶升级,高端装备,国产航母","海洋经济,军工","融资融券,转融券标的"
603220.SH,中贝通信,"智能交通,5G,充电桩",智慧城市,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
300040.SZ,九洲集团,"抽水蓄能,轨道交通,储能,智能电网,虚拟电厂,光伏建筑一体化,绿色电力,生物质能,生物质能发电,垃圾分类,光伏,风电","碳中和,新基建","富时罗素,创业板重组松绑"
603053.SH,成都燃气,"氢能源,天然气",地方国资改革,
000002.SZ,万科A,"超级品牌,猪肉,住房租赁,冰雪产业,体育产业,物业管理,REITs,装配式建筑",,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素,证金持股"
603908.SH,牧高笛,"体育产业,电子商务",露营经济,"人民币贬值受益,半年报预增"
603100.SH,川仪股份,"物联网,核电,高端装备,工业互联网","国产替代,碳中和,地方国资改革",
000988.SZ,华工科技,"光纤,F5G,全息手机,物联网,3D打印,传感器,汽车电子,新材料,激光,新能源汽车,工业机器人,芯片,5G,机器人,量子科技,柔性屏,蓝宝石,元器件,激光器,大容量通信","比亚迪,地方国资改革,工业4.0,苹果,华为,智慧城市,健康中国,宽带中国,特斯拉","MSCI,融资融券,标普道琼斯A股,转融券标的,半年报预增,创投,独角兽,富时罗素股,深股通,富时罗素"
600598.SH,北大荒,"农业种植,物流电商平台,大豆,玉米,有机食品,生态农业,区块链应用,聚土地,粮食,区块链,电子商务","俄乌冲突,贸易战受益股,土地增值,乡村振兴,农垦改革,农业供给侧改革,央企国资改革,土地流转","MSCI,融资融券,标普道琼斯A股,转融券标的,参股银行,富时罗素股,富时罗素,沪股通"
601901.SH,方正证券,"融资租赁,高校,互联网券商,互联网金融",,"MSCI,融资融券,标普道琼斯A股,转融券标的,参股基金,富时罗素股,期货,富时罗素,外资券商影子股,沪股通,证金持股"
600109.SH,国金证券,"互联网券商,互联网金融,互联网银行","腾讯,微信","MSCI,融资融券,标普道琼斯A股,转融券标的,参股基金,富时罗素股,期货,富时罗素,沪股通"
000828.SZ,东莞控股,"充电桩,小额再贷款","蔚来汽车,金改,地方国资改革","融资融券,标普道琼斯A股,转融券标的,参股券商,富时罗素股,期货,深股通,信托,富时罗素"
002712.SZ,思美传媒,"数字营销,广告营销,文化传媒,影视娱乐,知识产权保护,数字阅读,IP","抖音,网红经济,地方国资改革",
300457.SZ,赢合科技,"OLED,新型烟草,锂电池,锂电设备,口罩,新能源","工业4.0,比亚迪,地方国资改革,宁德时代","融资融券,转融券标的,富时罗素股,深股通,富时罗素"
002088.SZ,鲁阳节能,"岩棉,建筑节能,新材料,气凝胶",,"养老金持股,深股通"
603683.SH,晶华新材,新材料,"蔚来汽车,宁德时代",
301000.SZ,肇民科技,"新能源汽车,汽车热管理",,"送转填权,融资融券,转融券标的"
300513.SZ,恒实科技,"芯片,电力物联网,虚拟现实,智能电网,智能家居,物联网,虚拟电厂,能源互联网,5G,大数据,机器人","国产软件,数字乡村,乡村振兴,华为",
300052.SZ,中青宝,"元宇宙,云游戏,虚拟现实,互联网彩票,挖矿设备,互联网金融,区块链底层,区块链应用,云计算,边缘计算,5G,数据中心,电子竞技,手机游戏,区块链,网络游戏","facebook,华为",
000755.SZ,山西路桥,"绿色电力,光伏",地方国资改革,
000048.SZ,京基智农,"饲料,猪肉,养鸡",土地增值,深股通
300162.SZ,雷曼光电,"MicroLED,足球,MiniLED,裸眼3D,VR平台,文化传媒,虚拟现实,节能照明,安防,体育产业,超清视频",专精特新,
000008.SZ,神州高铁,"轨道交通,高铁,磁悬浮,铁路基建,云计算,机器人,融资租赁","新基建,地方国资改革,PPP,工业4.0,腾讯,国投系,央企国资改革","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
300259.SZ,新天科技,"数字孪生,电力物联网,虚拟现实,工业节水,仪电仪表,智能电网,水利,物联网,节水灌溉,智能表","棚户区改造,冬奥会,新基建,专精特新",参股新三板
300660.SZ,江苏雷利,"家用电器,芯片,储能,汽车热管理,物联网,边缘计算,大数据,电机电控,新能源汽车,机器人","军工,宁德时代",
688234.SH,天岳先进,"第三代半导体,碳化硅",,"融资融券,新股与次新股,科创次新股,转融券标的"
300355.SZ,蒙草生态,"足球,村镇银行,抗旱,GEP,园林开发,大数据,风沙治理,土壤修复","太空经济,碳中和,美丽中国,PPP","融资融券,转融券标的,参股银行,富时罗素股,优先股,深股通,参股新三板"
600322.SH,天房发展,绿色建筑,"棚户区改造,地方国资改革","融资融券,转融券标的"
600359.SH,新农开发,"奶牛养殖,棉,农业种植,抗旱,乳粉,棉花种植,粮食,乳业","地方国资改革,农村电商,乡村振兴,农垦改革,土地流转",
688046.SH,药康生物,,,"融资融券,新股与次新股,科创次新股,转融券标的"
002878.SZ,元隆雅图,"无线耳机,元宇宙,文化传媒,NFT,IP,虚拟数字人,盲盒,电子商务","冬奥纪念品,大运会,快手,网红经济,抖音,拼多多,冬奥会,华为,杭州亚运会",半年报预增
603108.SH,润达医疗,"互联网医疗,医疗器械,体外诊断,幽门螺杆菌,生物医药","猴痘,新冠检测,地方国资改革","融资融券,标普道琼斯A股,转融券标的,股权转让,富时罗素股,富时罗素,沪股通"
000917.SZ,电广传媒,"动漫,广告营销,广播电视,文化传媒,影视娱乐,智能家居,在线旅游,互联网彩票,TMT,物联网,在线教育,网络电视,新媒体,旅游,网络视频,网络游戏","世界杯,三网融合,华为,地方国资改革","融资融券,转融券标的,创投,参股新三板,深股通"
688005.SH,容百科技,"钴,锂电池,正极材料,新能源汽车,小金属,钠离子电池",,"融资融券,半年报预增,沪股通,转融券标的"
002410.SZ,广联达,"数字孪生,征信,现代服务业,CAD,电子信息,体感3D,小额贷款,融资租赁,电子商务","国产软件,智慧城市","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
300787.SZ,海能实业,"无线耳机,第三代半导体,氮化镓,无线充电,消费电子,智能穿戴",苹果,"人民币贬值受益,半年报预增"
002930.SZ,宏川智慧,油气运输仓储,,"富时罗素,富时罗素股,标普道琼斯A股,深股通"
300263.SZ,隆华科技,"节能环保,大飞机,OLED,噪声防治,柔性屏,超超临界发电,OLED材料,污水处理,钙钛矿电池,新材料,靶材,核电,膜材料,PVC,风电","华为,军工,国产替代,PPP","富时罗素,深股通"
002739.SZ,万达电影,"影视娱乐,广告营销,文化传媒,IP,手机游戏","腾讯,阿里巴巴,大消费","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
000791.SZ,甘肃电投,"新能源,绿色电力,光伏,风电",地方国资改革,深股通
300291.SZ,百纳千成,"动漫,影视娱乐,文化传媒,网络直播,体育产业",网红经济,
600053.SH,九鼎投资,跨境电商,PPP,"融资融券,标普道琼斯A股,转融券标的,半年报预增,创投,富时罗素股,参股新三板,富时罗素"
300043.SZ,星辉娱乐,"足球,动漫,元宇宙,文化传媒,NFT,云游戏,体育产业,IP,电子竞技,手机游戏,电子商务,网络游戏","腾讯,抖音,圣诞节,厚朴系,世界杯,三胎,外贸受益","分拆上市意愿,人民币贬值受益,富时罗素股,参股新三板,富时罗素"
300724.SZ,捷佳伟创,"芯片设备,芯片,TOPCON电池,集成电路,HJT电池,太阳能,光伏,钙钛矿电池",,"富时罗素,富时罗素股,深股通"
300859.SZ,西域旅游,"旅游,在线旅游",地方国资改革,摘帽
600868.SH,梅雁吉祥,"新材料,水利,水泥,地理信息,小金属,绿色电力",智慧城市,"融资融券,转融券标的"
605088.SH,冠盛股份,新能源汽车,"外贸受益,京东,华为汽车","人民币贬值受益,半年报预增"
300085.SZ,银之杰,"富媒体,互联网保险,征信,跨境电商,区块链储备,互联网金融,云计算,数字货币,大数据,区块链,金融科技,电子商务","国产软件,华为鲲鹏,碳中和,华为","MSCI,融资融券,转融券标的,参股券商,富时罗素股,深股通,富时罗素"
688379.SH,华光新材,"新能源汽车,新材料",,"融资融券,转融券标的"
300376.SZ,易事特,"充电桩,锂电池,第三代半导体,云计算,边缘计算,大数据,数据中心,垃圾分类,光伏,电力物联网,轨道交通,集成电路,ETC,虚拟电厂,氮化镓,换电,新能源汽车,柔性直流输电,磁悬浮,储能,特高压","滴滴股,国产软件,智慧城市,军工,宁德时代,特斯拉",深股通
300087.SZ,荃银高科,"棉,农业种植,转基因,大豆,玉米,粮食,超级稻","俄乌冲突,地方国资改革,乡村振兴,三农,央企国资改革,农业供给侧改革","送转填权,深股通"
000559.SZ,万向钱潮,"芯片,电动汽车,MCU芯片,工业互联网,电机电控,北汽新能源","工业4.0,军工,比亚迪","融资融券,标普道琼斯A股,参股民营银行,转融券标的,国开行,富时罗素股,参股万达商业,深股通,富时罗素"
002913.SZ,奥士康,"汽车电子,PCB,通信基站,MiniLED","小米,富士康","送转填权,标普道琼斯A股,深股通"
600960.SH,渤海汽车,"汽车热管理,工业母机,汽车制造,新能源汽车,北汽新能源","比亚迪,国六标准、国六排放、国六,地方国资改革",
002500.SZ,山西证券,,地方国资改革,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素,外资券商影子股,证金持股"
000667.SZ,美好置业,"绿色建筑,装配式建筑,保障房","新型城镇化,特色小镇,PPP","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
603606.SH,东方电缆,"高端装备,电缆,风电",,"融资融券,转融券标的,参股券商,富时罗素,沪股通"
301222.SZ,浙江恒威,"工业互联网,智能制造",外贸受益,"融资融券,新股与次新股,转融券标的,人民币贬值受益,注册制次新股"
002949.SZ,华阳国际,装配式建筑,,
002531.SZ,天顺风能,"新能源,海上风电,风电",,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
300600.SZ,国瑞科技,"核电,国产航母","军民融合,军工,地方国资改革",股权转让
002898.SZ,赛隆药业,"肝炎,幽门螺杆菌,仿制药一致性评价",,
000541.SZ,佛山照明,"智能家居,网络直播,绿色消费,节能照明","华为,地方国资改革","标普道琼斯A股,融资融券,老字号,转融券标的,参股银行,富时罗素股,证金持股"
601106.SH,中国一重,"小金属,金属镍,核电,风电,国产航母","地方国资改革,一带一路,军民融合,央企国资改革,军工","融资融券,转融券标的,中字头股票,债转股(AMC),央企控股"
603069.SH,海汽集团,"新能源汽车,免税店",地方国资改革,王亚伟持股
002098.SZ,浔兴股份,"村镇银行,跨境电商",网红经济,"壳资源,参股新三板"
003038.SZ,鑫铂股份,"铝材加工,有色铝,光伏",专精特新,半年报预增
601127.SH,赛力斯,"固态电池,新能源整车,智能汽车,无人驾驶,新能源汽车,车联网","工业4.0,阿里巴巴,室外经济,华为,百度,华为汽车","标普道琼斯A股,融资融券,转融券标的,参股银行,富时罗素股"
601198.SH,东兴证券,,央企国资改革,"MSCI,融资融券,标普道琼斯A股,转融券标的,参股基金,富时罗素股,期货,北交所,富时罗素,债转股(AMC),沪股通,证金持股"
002024.SZ,ST易购,"虚拟运营商,互联网保险,无人零售,区块链应用,智能物流,大数据,人工智能,移动购物,家用电器,物流电商平台,消费金融,商超百货,网络直播,区块链底层,跨境电商,超级品牌,互联网金融,冷链物流,快递,金融科技,电子商务,智能家居,智能终端,体育产业,供应链金融,区块链","新零售,抖音小店,阿里巴巴,农村电商,联通混改,乡村振兴,三胎,大消费,双十一","MSCI,标普道琼斯A股,参股民营银行,独角兽,股权转让,富时罗素股,ST板块,参股万达商业,富时罗素"
300111.SZ,向日葵,"分布式发电,生物医药",,
601519.SH,大智慧,"互联网券商,网络直播,互联网金融,电子信息,金融信息服务",,"融资融券,转融券标的"
603396.SH,金辰股份,"太阳能,HJT电池,光伏,TOPCON电池","工业4.0,专精特新",
300175.SZ,朗源股份,"休闲零食,工业大麻,土豆,云计算,边缘计算,大数据,数据中心,油豆,VPN","贸易战受益股,土地流转","期货,苹果期货"
002352.SZ,顺丰控股,"线材,冷链物流,智能物流,快递,REITs,无人机,区块链,民用无人机","双十一,铁路混改,军用无人机,药品信息化追溯","MSCI,融资融券,标普道琼斯A股,转融券标的,半年报预增,富时罗素股,深股通,富时罗素"
600004.SH,白云机场,,地方国资改革,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
600735.SH,新华锦,"医疗器械,跨境电商,养老,二手车,石墨烯","三胎,外贸受益","人民币贬值受益,澳交所"
600621.SH,华鑫股份,,地方国资改革,"融资融券,参股外资金融,转融券标的,创投,股权转让,参股券商,期货"
601166.SH,兴业银行,跨境支付（CIPS）,海峡两岸,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,优先股,富时罗素,沪股通"
300491.SZ,通合科技,"充电桩,电动汽车,汽车电子,智能电网,换电,新能源汽车,高压快充",军工,创业板重组松绑
300418.SZ,昆仑万维,"元宇宙,虚拟现实,无人驾驶,在线教育,IP,电子商务,手机游戏,区块链,人工智能,网络游戏","滴滴股,网红经济","MSCI,融资融券,转融券标的,创投,独角兽,台湾股,富时罗素股,深股通,富时罗素"
000777.SZ,中核科技,"核电,幽门螺杆菌,超超临界发电,铀矿","地方国资改革,一带一路,金改,央企国资改革,航天军工","融资融券,央企控股,转融券标的"
601236.SH,红塔证券,,央企国资改革,"融资融券,转融券标的,参股基金,期货,富时罗素股,富时罗素"
688371.SH,菲沃泰,,,"融资融券,新股与次新股,科创次新股,转融券标的"
688711.SH,宏微科技,"芯片,IGBT",华为,"融资融券,新股与次新股,科创次新股,转融券标的"
603309.SH,维力医疗,"医疗器械,口罩",,半年报预增
601128.SH,常熟银行,村镇银行,,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
300747.SZ,锐科激光,"光纤,激光,工业母机,光纤光缆,5G,高端装备,激光器","央企国资改革,国产替代,地方国资改革","融资融券,转融券标的,富时罗素股,深股通,富时罗素"
002963.SZ,豪尔赛,"集成电路,节能照明","智慧灯杆,冬奥会,智慧城市",
688048.SH,长光华芯,"芯片,激光器,激光","华为,专精特新","融资融券,新股与次新股,科创次新股,转融券标的"
002249.SZ,大洋电机,"氢能源,充电桩,燃料电池,扁线电机,海上风电,新能源整车,节能电机,稀土永磁,新能源汽车,电机电控,北汽新能源,IGBT","小鹏汽车,军工,恒大","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
600973.SH,宝胜股份,"大飞机,高铁,人造太阳,智能电网,海上风电,航空航天,铁路基建,超导,核电,光伏","恒大,中航系,央企国资改革,西电东送,特斯拉","富时罗素,富时罗素股,标普道琼斯A股"
