股票代码,股票简称,概念名称,行业概念,事件概念,交易概念
300152.SZ,科融环境,"PM2.5,雄安新区,节能环保,氢能源,PPP,创投,生物质能发电,污水处理,融资融券,土壤修复","PM2.5,节能环保,生物质能发电,污水处理,土壤修复,氢能源",PPP,"创投,融资融券"
000969.SZ,安泰科技,"光刻胶,军工,节能环保,稀土永磁,燃料电池,深股通,融资融券,中芯国际,航空发动机,第三代半导体,新材料,5G,碳纤维,央企国资改革,核电,苹果,标普道琼斯A股,氢能源,比亚迪,3D打印,无线充电,华为,小米,京津冀一体化,创投,小金属","3D打印,5G,光刻胶,无线充电,节能环保,新材料,碳纤维,稀土永磁,核电,燃料电池,小金属,氢能源,第三代半导体,航空发动机","军工,华为,小米,央企国资改革,苹果,比亚迪,中芯国际","标普道琼斯A股,创投,深股通,融资融券"
688551.SH,科威尔,"光伏,燃料电池,融资融券,新能源汽车,宁德时代","光伏,燃料电池,新能源汽车",宁德时代,融资融券
002665.SZ,首航高科,"光伏,碳中和,雄安新区,节能环保,超超临界发电,碳交易,标普道琼斯A股,核电,绿色电力,深股通,融资融券,氢能源,光热发电,储能","光伏,节能环保,超超临界发电,核电,绿色电力,氢能源,光热发电,储能","碳中和,碳交易","标普道琼斯A股,深股通,融资融券"
688025.SH,杰普特,"光伏,苹果,专精特新,虚拟现实,华为,融资融券,比亚迪,宁德时代,钙钛矿电池,集成电路","光伏,虚拟现实,钙钛矿电池,集成电路","华为,专精特新,苹果,比亚迪,宁德时代",融资融券
601222.SH,林洋能源,"沪股通,区块链,光伏,锂电池,智能电网,华为,标普道琼斯A股,光伏建筑一体化,虚拟电厂,绿色电力,电力物联网,风电,节能照明,物联网,融资融券,氢能源,储能","光伏,区块链,锂电池,智能电网,光伏建筑一体化,虚拟电厂,电力物联网,风电,绿色电力,节能照明,物联网,氢能源,储能",华为,"标普道琼斯A股,沪股通,融资融券"
688363.SH,华熙生物,"沪股通,医美,融资融券",医美,,"沪股通,融资融券"
000050.SZ,深天马A,"超清视频,苹果,智能穿戴,电子纸,虚拟现实,华为,MSCI,央企国资改革,OLED,小米,芯片,MiniLED,柔性屏,深股通,融资融券,标普道琼斯A股","超清视频,智能穿戴,电子纸,虚拟现实,OLED,芯片,MiniLED,柔性屏","小米,华为,央企国资改革,苹果","标普道琼斯A股,深股通,MSCI,融资融券"
300241.SZ,瑞丰光电,"华为,智能家居,MicroLED,MiniLED,节能照明,比亚迪","MicroLED,MiniLED,节能照明,智能家居","比亚迪,华为",
002587.SZ,奥拓电子,"区块链,元宇宙,疫情监测,专精特新,虚拟数字人,虚拟现实,智慧灯杆,华为,机器人,MiniLED,智慧城市,腾讯,节能照明,智慧政务","区块链,元宇宙,虚拟现实,虚拟数字人,机器人,MiniLED,节能照明","疫情监测,华为,专精特新,智慧灯杆,智慧城市,腾讯,智慧政务",
603677.SH,奇精机械,"股权转让,家用电器,新能源汽车","家用电器,新能源汽车",,股权转让
600289.SH,ST信通,"黑龙江自贸区,网络安全,ST板块,智慧城市,车联网,智能交通,智能物流","车联网,智能交通,智能物流,网络安全",智慧城市,ST板块
000591.SZ,太阳能,"光伏,碳中和,碳交易,央企国资改革,MSCI,虚拟电厂,光伏建筑一体化,绿色电力,深股通,融资融券,标普道琼斯A股","光伏建筑一体化,光伏,绿色电力,虚拟电厂","碳中和,央企国资改革,碳交易","标普道琼斯A股,深股通,MSCI,融资融券"
600590.SH,泰豪科技,"大数据,区块链,光伏,智能电网,军工,虚拟现实,华为,军民融合,国产航母,电力物联网,云计算,一带一路,融资融券,氢能源,储能,卫星导航","大数据,光伏,区块链,智能电网,虚拟现实,国产航母,电力物联网,云计算,氢能源,储能,卫星导航","华为,军工,军民融合,一带一路",融资融券
600153.SH,建发股份,"沪股通,海峡两岸,参股银行,MSCI,电子商务,标普道琼斯A股,融资融券,白酒,福建自贸区","白酒,电子商务",海峡两岸,"沪股通,参股银行,MSCI,融资融券,标普道琼斯A股"
001206.SZ,依依股份,"宠物经济,人民币贬值受益,电子商务,三胎,口罩","口罩,电子商务","宠物经济,三胎",人民币贬值受益
300189.SZ,神农科技,"农业种植,转基因,乡村振兴,粮食,海南自贸区,融资融券,土地流转,玉米,俄乌冲突,生态农业","农业种植,转基因,粮食,玉米,生态农业","乡村振兴,土地流转,俄乌冲突",融资融券
688311.SH,盟升电子,"军工,卫星导航,融资融券",卫星导航,军工,融资融券
600032.SH,浙江新能,"光伏,抽水蓄能,半年报预增,绿色电力,风电,氢能源","光伏,抽水蓄能,绿色电力,风电,氢能源",,半年报预增
000638.SZ,*ST万方,"生物疫苗,军工,肝炎,京津冀一体化,粮食,冬奥会,ST板块,重组蛋白,壳资源,民营医院","重组蛋白,粮食,生物疫苗,肝炎","冬奥会,军工,民营医院","ST板块,壳资源"
002824.SZ,和胜股份,"小米,华为,消费电子,新能源汽车,比亚迪,宁德时代","消费电子,新能源汽车","比亚迪,华为,宁德时代,小米",
600589.SH,ST榕泰,"ST板块,云计算,边缘计算,国产软件,数据中心,新材料","新材料,云计算,边缘计算,数据中心",国产软件,ST板块
002259.SZ,ST升达,"天然气,壳资源,ST板块",天然气,,"ST板块,壳资源"
000892.SZ,欢瑞世纪,"文化传媒,半年报预增,电子商务","文化传媒,电子商务",,半年报预增
603773.SH,沃格光电,"智能穿戴,华为,小米,OLED,消费电子,MiniLED,标普道琼斯A股","智能穿戴,MiniLED,OLED,消费电子","华为,小米",标普道琼斯A股
000875.SZ,吉电股份,"光伏,抽水蓄能,充电桩,央企国资改革,标普道琼斯A股,PPP,燃料电池,绿色电力,深股通,风电,融资融券,氢能源,储能","充电桩,抽水蓄能,光伏,燃料电池,风电,绿色电力,氢能源,储能","央企国资改革,PPP","标普道琼斯A股,深股通,融资融券"
002019.SZ,亿帆医药,"可降解塑料,光伏,肝炎,MSCI,深股通,融资融券,标普道琼斯A股,新材料,生物医药","光伏,可降解塑料,肝炎,新材料,生物医药",,"标普道琼斯A股,深股通,MSCI,融资融券"
000421.SZ,南京公用,"天然气,充电桩","充电桩,天然气",,
600438.SH,通威股份,"沪股通,光伏,HJT电池,半年报预增,同花顺漂亮100,农村电商,钙钛矿电池,MSCI,乡村振兴,预制菜,TOPCON电池,融资融券,标普道琼斯A股,硅能源","光伏,HJT电池,硅能源,预制菜,TOPCON电池,钙钛矿电池","乡村振兴,农村电商","沪股通,半年报预增,MSCI,融资融券,标普道琼斯A股"
300066.SZ,三川智慧,"华为,互联网金融,稀土永磁,参股新三板,智慧城市,物联网,融资融券,储能","储能,互联网金融,稀土永磁,物联网","华为,智慧城市","参股新三板,融资融券"
002354.SZ,天娱数科,"大数据,抖音,数字经济,元宇宙,快手,电子竞技,虚拟数字人,互联网金融,手机游戏,网络游戏,东数西算（算力）,文化传媒","大数据,元宇宙,虚拟数字人,互联网金融,手机游戏,网络游戏,电子竞技,文化传媒","东数西算（算力）,抖音,数字经济,快手",
000951.SZ,中国重汽,"冷链物流,MSCI,标普道琼斯A股,氢能源,燃料电池,中字头股票,深股通,无人驾驶,融资融券,冬奥会,新能源汽车","冷链物流,燃料电池,无人驾驶,新能源汽车,氢能源",冬奥会,"MSCI,中字头股票,深股通,融资融券,标普道琼斯A股"
600500.SH,中化国际,"可降解塑料,锂电池,上海自贸区,宁德时代,央企国资改革,中字头股票,代糖,动力电池回收,融资融券,标普道琼斯A股,储能,新材料,环氧丙烷","可降解塑料,锂电池,代糖,动力电池回收,储能,新材料,环氧丙烷","宁德时代,央企国资改革","标普道琼斯A股,中字头股票,融资融券"
000982.SZ,中银绒业,"新冠检测,锂电池,换电,深股通,储能,新材料","新材料,储能,锂电池,换电",新冠检测,深股通
688616.SH,西力科技,"电力物联网,智能电网,高端装备,融资融券","电力物联网,智能电网,高端装备",,融资融券
600505.SH,西昌电力,"光伏,绿色电力,风电,央企国资改革","绿色电力,光伏,风电",央企国资改革,
601162.SH,天风证券,"标普道琼斯A股,MSCI,期货,融资融券",,,"标普道琼斯A股,MSCI,期货,融资融券"
002142.SZ,宁波银行,"共同富裕示范区,MSCI,深股通,证金持股,融资融券,标普道琼斯A股",,,"MSCI,深股通,证金持股,融资融券,标普道琼斯A股"
300639.SZ,凯普生物,"半年报预增,新冠检测,猴痘,基因测序,肝炎,送转填权,幽门螺杆菌,深股通,辅助生殖","辅助生殖,幽门螺杆菌,基因测序,肝炎","新冠检测,猴痘","送转填权,深股通,半年报预增"
000978.SZ,桂林旅游,"在线旅游,腾讯",在线旅游,腾讯,
300977.SZ,深圳瑞捷,"融资融券,送转填权,数据中心",数据中心,,"送转填权,融资融券"
601778.SH,晶科科技,"光伏,光伏建筑一体化,绿色电力,氢能源,储能","光伏,光伏建筑一体化,绿色电力,氢能源,储能",,
002939.SZ,长城证券,"期货,MSCI,央企国资改革,深股通,融资融券,标普道琼斯A股",,央企国资改革,"期货,MSCI,深股通,融资融券,标普道琼斯A股"
002467.SZ,二六三,"区块链,富媒体,元宇宙,数字经济,云办公,虚拟现实,虚拟数字人,小米,网络直播,融资融券,在线教育,深股通,云计算,物联网,数据中心,网红经济","区块链,富媒体,元宇宙,云办公,虚拟现实,虚拟数字人,网络直播,在线教育,云计算,物联网,数据中心","小米,数字经济,网红经济","深股通,融资融券"
601199.SH,江南水务,"水利,节能环保,PPP,固废处理,污水处理,融资融券","固废处理,水利,污水处理,节能环保",PPP,融资融券
688356.SH,键凯科技,"沪股通,医疗器械,融资融券",医疗器械,,"沪股通,融资融券"
002546.SZ,新联电子,"充电桩,电力物联网,智能电网","充电桩,电力物联网,智能电网",,
002596.SZ,海南瑞泽,"水利,雄安新区,垃圾分类,特色小镇,自由贸易港,水泥,PPP,固废处理,一带一路,海南自贸区,装配式建筑,融资融券,标普道琼斯A股,新型城镇化","水利,垃圾分类,水泥,固废处理,装配式建筑","特色小镇,一带一路,新型城镇化,PPP","标普道琼斯A股,融资融券"
600060.SH,海信视像,"超清视频,半年报预增,元宇宙,智能家居,芯片,家用电器,MiniLED,MCU芯片,融资融券,标普道琼斯A股","超清视频,元宇宙,智能家居,芯片,家用电器,MiniLED,MCU芯片",,"标普道琼斯A股,半年报预增,融资融券"
000862.SZ,银星能源,"光伏,央企国资改革,绿色电力,风电,一带一路","绿色电力,光伏,风电","一带一路,央企国资改革",
002498.SZ,汉缆股份,"5G,充电桩,智能电网,特高压,标普道琼斯A股,核电,燃料电池,风电,深股通,一带一路,融资融券,氢能源,储能","5G,充电桩,智能电网,特高压,核电,燃料电池,风电,氢能源,储能",一带一路,"标普道琼斯A股,深股通,融资融券"
688107.SH,安路科技,"专精特新,科创次新股,芯片,融资融券,国家大基金持股,新股与次新股",芯片,专精特新,"国家大基金持股,新股与次新股,科创次新股,融资融券"
300031.SZ,宝通科技,"元宇宙,光刻胶,百度,数字孪生,虚拟现实,虚拟数字人,人民币贬值受益,工业互联网,机器人,创投,手机游戏,深股通,无人驾驶,网络游戏","光刻胶,元宇宙,数字孪生,虚拟现实,虚拟数字人,工业互联网,机器人,手机游戏,无人驾驶,网络游戏",百度,"人民币贬值受益,深股通,创投"
002047.SZ,宝鹰股份,"元宇宙,虚拟现实,标普道琼斯A股,光伏建筑一体化,一带一路,装配式建筑,融资融券,恒大","光伏建筑一体化,虚拟现实,元宇宙,装配式建筑","恒大,一带一路","标普道琼斯A股,融资融券"
300477.SZ,合纵科技,"区块链,充电桩,钴,锂电池,智能电网,磷化工,电力物联网,深股通,动力电池回收,小金属,新能源汽车,比亚迪,金属镍","充电桩,区块链,钴,锂电池,智能电网,磷化工,电力物联网,动力电池回收,小金属,新能源汽车,金属镍",比亚迪,深股通
002425.SZ,凯撒文化,"抖音,元宇宙,快手,网络游戏,虚拟现实,华为,云游戏,创投,手机游戏,深股通,腾讯,阿里巴巴,融资融券,文化传媒","元宇宙,虚拟现实,云游戏,手机游戏,网络游戏,文化传媒","抖音,快手,华为,腾讯,阿里巴巴","创投,深股通,融资融券"
000001.SZ,平安银行,"跨境支付（CIPS）,MSCI,深股通,证金持股,融资融券,标普道琼斯A股",跨境支付（CIPS）,,"MSCI,深股通,证金持股,融资融券,标普道琼斯A股"
002329.SZ,皇氏集团,"光伏,富媒体,半年报预增,免税店,电子商务,绿色电力,智慧城市,TOPCON电池,乳业","光伏,富媒体,免税店,电子商务,绿色电力,TOPCON电池,乳业",智慧城市,半年报预增
600187.SH,国中水务,"节能环保,黑龙江自贸区,养老,独角兽,PPP,污水处理,空气能热泵,融资融券,储能","节能环保,养老,污水处理,空气能热泵,储能",PPP,"独角兽,融资融券"
300860.SZ,锋尚文化,"元宇宙,杭州亚运会,虚拟现实,虚拟数字人,深股通,融资融券,冬奥会,文化传媒","文化传媒,虚拟现实,虚拟数字人,元宇宙","冬奥会,杭州亚运会","深股通,融资融券"
600851.SH,海欣股份,"生物疫苗,细胞免疫治疗,参股新三板,证金持股,参股券商,融资融券","生物疫苗,细胞免疫治疗",,"参股新三板,证金持股,参股券商,融资融券"
300902.SZ,国安达,"安防,融资融券,机器人","安防,机器人",,融资融券
003039.SZ,顺控发展,"绿色电力,深股通,融资融券",绿色电力,,"深股通,融资融券"
839167.BJ,同享科技,,,,
002448.SZ,中原内配,"军工,华为,人民币贬值受益,工业4.0,燃料电池,农机,MCU芯片,氢能源,车联网,汽车电子,无人驾驶","燃料电池,农机,MCU芯片,氢能源,车联网,汽车电子,无人驾驶","工业4.0,华为,军工",人民币贬值受益
603886.SH,元祖股份,"新零售,长三角一体化",,新零售,
300146.SZ,汤臣倍健,"医药电商,基因测序,智能医疗,MSCI,深股通,融资融券,粤港澳大湾区","医药电商,智能医疗,基因测序",,"深股通,MSCI,融资融券"
688156.SH,路德环境,"融资融券,污水处理,节能环保","污水处理,节能环保",,融资融券
600707.SH,彩虹股份,"新材料,OLED,柔性屏,融资融券","新材料,柔性屏,OLED",,融资融券
688681.SH,科汇股份,"柔性直流输电,充电桩,智能电网,专精特新,特高压,虚拟电厂,融资融券,储能","柔性直流输电,充电桩,智能电网,特高压,虚拟电厂,储能",专精特新,融资融券
300567.SZ,精测电子,"超清视频,苹果,锂电池,虚拟现实,华为,小米,OLED,芯片,融资融券,MiniLED,柔性屏,深股通,富士康,比亚迪,宁德时代,中芯国际","超清视频,锂电池,虚拟现实,OLED,芯片,MiniLED,柔性屏","富士康,华为,小米,苹果,比亚迪,宁德时代,中芯国际","深股通,融资融券"
300763.SZ,锦浪科技,"光伏,半年报预增,送转填权,深股通,融资融券,储能","光伏,储能",,"送转填权,深股通,半年报预增,融资融券"
300315.SZ,掌趣科技,"网络游戏,虚拟现实,网络直播,手机游戏,深股通,腾讯,融资融券,文化传媒","虚拟现实,网络直播,手机游戏,网络游戏,文化传媒",腾讯,"深股通,融资融券"
300303.SZ,聚飞光电,"超清视频,5G,华为,小米,智慧灯杆,独角兽,芯片,MicroLED,MiniLED,柔性屏,深股通,节能照明,新能源汽车,比亚迪,集成电路","超清视频,5G,芯片,MicroLED,MiniLED,柔性屏,节能照明,新能源汽车,集成电路","比亚迪,华为,智慧灯杆,小米","深股通,独角兽"
000921.SZ,海信家电,"电子商务,家用电器,深股通,汽车热管理,空气能热泵,融资融券,标普道琼斯A股,新能源汽车","电子商务,家用电器,汽车热管理,空气能热泵,新能源汽车",,"标普道琼斯A股,深股通,融资融券"
300051.SZ,三五互联,"创业板重组松绑,富媒体,云办公,电子商务,摘帽,云计算,国产软件,网络游戏","富媒体,云办公,电子商务,云计算,网络游戏",国产软件,"创业板重组松绑,摘帽"
688513.SH,苑东生物,"生物医药,融资融券",生物医药,,融资融券
600136.SH,ST明诚,"足球,体育产业,ST板块,标普道琼斯A股,文化传媒","文化传媒,体育产业,足球",,"标普道琼斯A股,ST板块"
002483.SZ,润邦股份,"医疗废物处理,高端装备,固废处理,风电,污水处理,海工装备","医疗废物处理,高端装备,固废处理,风电,污水处理,海工装备",,
603083.SH,剑桥科技,"5G,F5G,华为,人民币贬值受益,智能家居,工业互联网,边缘计算,物联网,融资融券","5G,F5G,工业互联网,智能家居,边缘计算,物联网",华为,"人民币贬值受益,融资融券"
002676.SZ,顺威股份,"比亚迪,智能家居,新能源汽车,口罩,壳资源","口罩,智能家居,新能源汽车",比亚迪,壳资源
688191.SH,智洋创新,"专精特新,智能电网,华为,融资融券",智能电网,"华为,专精特新",融资融券
300776.SZ,帝尔激光,"光伏,HJT电池,送转填权,深股通,TOPCON电池","光伏,HJT电池,TOPCON电池",,"送转填权,深股通"
300059.SZ,东方财富,"区块链,同花顺漂亮100,期货,互联网金融,MSCI,证金持股,深股通,融资融券,互联网保险","区块链,互联网保险,互联网金融",,"期货,MSCI,深股通,证金持股,融资融券"
000729.SZ,燕京啤酒,"MSCI,标普道琼斯A股,啤酒,深股通,融资融券,冬奥会",啤酒,冬奥会,"标普道琼斯A股,深股通,MSCI,融资融券"
600242.SH,*ST中昌,"大数据,抖音,ST板块,腾讯,阿里巴巴,文化传媒,网红经济","大数据,文化传媒","抖音,腾讯,阿里巴巴,网红经济",ST板块
601890.SH,亚星锚链,"军工,高端装备,国产航母,融资融券,海工装备","海工装备,国产航母,高端装备",军工,融资融券
603220.SH,中贝通信,"5G,充电桩,智慧城市,融资融券,标普道琼斯A股,智能交通","5G,智能交通,充电桩",智慧城市,"标普道琼斯A股,融资融券"
300040.SZ,九洲集团,"创业板重组松绑,光伏,抽水蓄能,智能电网,碳中和,垃圾分类,黑龙江自贸区,虚拟电厂,光伏建筑一体化,绿色电力,生物质能发电,风电,储能","光伏,抽水蓄能,智能电网,垃圾分类,光伏建筑一体化,虚拟电厂,风电,绿色电力,生物质能发电,储能",碳中和,创业板重组松绑
603053.SH,成都燃气,"氢能源,天然气,碳中和","氢能源,天然气",碳中和,
000002.SZ,万科A,"同花顺漂亮100,猪肉,MSCI,物业管理,体育产业,冰雪产业,证金持股,超级品牌,深股通,装配式建筑,融资融券,标普道琼斯A股,REITs","猪肉,物业管理,体育产业,冰雪产业,超级品牌,装配式建筑,REITs",,"MSCI,深股通,证金持股,融资融券,标普道琼斯A股"
603908.SH,牧高笛,"半年报预增,人民币贬值受益,电子商务,体育产业,露营经济","电子商务,体育产业",露营经济,"人民币贬值受益,半年报预增"
603100.SH,川仪股份,"碳中和,高端装备,工业互联网,核电,物联网","物联网,工业互联网,高端装备,核电",碳中和,
000988.SZ,华工科技,"半年报预增,MSCI,传感器,深股通,融资融券,量子科技,特斯拉,机器人,芯片,柔性屏,新能源汽车,新材料,5G,F5G,独角兽,智慧城市,苹果,标普道琼斯A股,比亚迪,汽车电子,3D打印,华为,创投,工业4.0,物联网,健康中国","3D打印,5G,F5G,量子科技,机器人,传感器,芯片,柔性屏,物联网,新能源汽车,汽车电子,新材料","华为,特斯拉,工业4.0,智慧城市,苹果,比亚迪,健康中国","半年报预增,MSCI,独角兽,创投,深股通,融资融券,标普道琼斯A股"
600598.SH,北大荒,"沪股通,区块链,农业种植,黑龙江自贸区,大豆,MSCI,央企国资改革,参股银行,电子商务,乡村振兴,粮食,融资融券,标普道琼斯A股,土地流转,玉米,俄乌冲突,生态农业","区块链,农业种植,大豆,电子商务,粮食,玉米,生态农业","乡村振兴,土地流转,央企国资改革,俄乌冲突","沪股通,参股银行,MSCI,融资融券,标普道琼斯A股"
601901.SH,方正证券,"沪股通,期货,互联网金融,MSCI,证金持股,融资融券,标普道琼斯A股",互联网金融,,"沪股通,期货,MSCI,证金持股,融资融券,标普道琼斯A股"
600109.SH,国金证券,"沪股通,期货,互联网金融,MSCI,证金持股,腾讯,融资融券,标普道琼斯A股",互联网金融,腾讯,"沪股通,期货,MSCI,证金持股,融资融券,标普道琼斯A股"
000828.SZ,东莞控股,"充电桩,金改,期货,深股通,信托,参股券商,融资融券,标普道琼斯A股,粤港澳大湾区",充电桩,金改,"期货,深股通,参股券商,信托,融资融券,标普道琼斯A股"
002712.SZ,思美传媒,"文化传媒,抖音,知识产权保护,网红经济","文化传媒,知识产权保护","抖音,网红经济",
300457.SZ,赢合科技,"锂电池,上海国资改革,OLED,工业4.0,新型烟草,深股通,融资融券,口罩,比亚迪,宁德时代","口罩,锂电池,新型烟草,OLED","工业4.0,比亚迪,宁德时代","深股通,融资融券"
002088.SZ,鲁阳节能,"新材料,深股通,建筑节能","新材料,建筑节能",,深股通
603683.SH,晶华新材,"宁德时代,新材料",新材料,宁德时代,
301000.SZ,肇民科技,"新能源汽车,送转填权,汽车热管理,融资融券","汽车热管理,新能源汽车",,"送转填权,融资融券"
300513.SZ,恒实科技,"大数据,5G,智能电网,虚拟现实,华为,智能家居,机器人,虚拟电厂,芯片,数字乡村,电力物联网,国产软件,乡村振兴,物联网","大数据,5G,智能电网,虚拟现实,智能家居,机器人,芯片,虚拟电厂,电力物联网,物联网","乡村振兴,华为,数字乡村,国产软件",
300052.SZ,中青宝,"区块链,5G,元宇宙,网络游戏,虚拟现实,华为,云游戏,互联网金融,互联网彩票,手机游戏,云计算,边缘计算,数据中心,电子竞技","5G,区块链,网络游戏,元宇宙,虚拟现实,互联网金融,云游戏,互联网彩票,手机游戏,云计算,边缘计算,数据中心,电子竞技",华为,
000755.SZ,山西路桥,"光伏,绿色电力,一带一路","光伏,绿色电力",一带一路,
000048.SZ,京基智农,"养鸡,猪肉,深股通","养鸡,猪肉",,深股通
300162.SZ,雷曼光电,"超清视频,足球,专精特新,虚拟现实,体育产业,MicroLED,MiniLED,节能照明,安防,文化传媒","超清视频,足球,虚拟现实,体育产业,MicroLED,MiniLED,节能照明,安防,文化传媒",专精特新,
000008.SZ,神州高铁,"央企国资改革,机器人,工业4.0,PPP,深股通,云计算,腾讯,融资融券,标普道琼斯A股,高铁","云计算,高铁,机器人","工业4.0,腾讯,央企国资改革,PPP","标普道琼斯A股,深股通,融资融券"
300259.SZ,新天科技,"水利,雄安新区,智能电网,数字孪生,专精特新,虚拟现实,电力物联网,参股新三板,物联网,冬奥会","水利,智能电网,数字孪生,虚拟现实,电力物联网,物联网","冬奥会,专精特新",参股新三板
300660.SZ,江苏雷利,"大数据,军工,机器人,芯片,家用电器,汽车热管理,边缘计算,物联网,新能源汽车,储能,宁德时代","大数据,机器人,家用电器,芯片,汽车热管理,边缘计算,物联网,新能源汽车,储能","宁德时代,军工",
688234.SH,天岳先进,"专精特新,科创次新股,融资融券,第三代半导体,新股与次新股",第三代半导体,专精特新,"新股与次新股,科创次新股,融资融券"
300355.SZ,蒙草生态,"大数据,碳中和,足球,参股银行,PPP,参股新三板,深股通,融资融券,土壤修复","大数据,足球,土壤修复","碳中和,PPP","参股新三板,深股通,参股银行,融资融券"
600322.SH,天房发展,"京津冀一体化,天津自贸区,融资融券",,,融资融券
600359.SH,新农开发,"农村电商,农业种植,新疆振兴,乡村振兴,粮食,乳业,土地流转","粮食,乳业,农业种植","乡村振兴,土地流转,农村电商",
688046.SH,药康生物,"融资融券,专精特新,新股与次新股,科创次新股",,专精特新,"新股与次新股,科创次新股,融资融券"
002878.SZ,元隆雅图,"无线耳机,半年报预增,抖音,元宇宙,快手,杭州亚运会,华为,虚拟数字人,电子商务,拼多多,NFT,冬奥会,文化传媒,网红经济","无线耳机,元宇宙,虚拟数字人,电子商务,NFT,文化传媒","抖音,快手,杭州亚运会,华为,拼多多,冬奥会,网红经济",半年报预增
603108.SH,润达医疗,"沪股通,新冠检测,猴痘,互联网医疗,标普道琼斯A股,幽门螺杆菌,融资融券,股权转让,医疗器械,生物医药","幽门螺杆菌,互联网医疗,医疗器械,生物医药","新冠检测,猴痘","标普道琼斯A股,沪股通,股权转让,融资融券"
000917.SZ,电广传媒,"在线旅游,网络游戏,华为,智能家居,互联网彩票,创投,在线教育,深股通,参股新三板,物联网,融资融券,文化传媒","在线旅游,互联网彩票,智能家居,在线教育,物联网,网络游戏,文化传媒",华为,"参股新三板,创投,深股通,融资融券"
688005.SH,容百科技,"沪股通,半年报预增,钴,锂电池,钠离子电池,小金属,融资融券,新能源汽车","锂电池,钴,钠离子电池,小金属,新能源汽车",,"沪股通,半年报预增,融资融券"
002410.SZ,广联达,"数字孪生,电子商务,深股通,国产软件,智慧城市,融资融券,标普道琼斯A股","电子商务,数字孪生","智慧城市,国产软件","标普道琼斯A股,深股通,融资融券"
300787.SZ,海能实业,"无线耳机,半年报预增,无线充电,智能穿戴,人民币贬值受益,消费电子,苹果,储能,第三代半导体","无线耳机,无线充电,智能穿戴,消费电子,储能,第三代半导体",苹果,"人民币贬值受益,半年报预增"
002930.SZ,宏川智慧,"标普道琼斯A股,粤港澳大湾区,深股通",,,"标普道琼斯A股,深股通"
300263.SZ,隆华科技,"HJT电池,军工,节能环保,超超临界发电,华为,噪声防治,OLED,PPP,芯片,核电,风电,柔性屏,深股通,污水处理,大飞机,新材料,钙钛矿电池","HJT电池,节能环保,超超临界发电,噪声防治,OLED,核电,芯片,风电,柔性屏,污水处理,大飞机,新材料,钙钛矿电池","华为,军工,PPP",深股通
002739.SZ,万达电影,"MSCI,手机游戏,深股通,腾讯,阿里巴巴,融资融券,标普道琼斯A股,文化传媒","文化传媒,手机游戏","腾讯,阿里巴巴","标普道琼斯A股,深股通,MSCI,融资融券"
000791.SZ,甘肃电投,"光伏,绿色电力,深股通,风电","绿色电力,光伏,风电",,深股通
300291.SZ,百纳千成,"网红经济,文化传媒,体育产业,网络直播","文化传媒,体育产业,网络直播",网红经济,
600053.SH,九鼎投资,"半年报预增,PPP,跨境电商,创投,参股新三板,融资融券,标普道琼斯A股",跨境电商,PPP,"半年报预增,创投,参股新三板,融资融券,标普道琼斯A股"
300043.SZ,星辉娱乐,"抖音,元宇宙,足球,人民币贬值受益,云游戏,电子商务,体育产业,三胎,横琴新区,NFT,手机游戏,腾讯,参股新三板,网络游戏,电子竞技,文化传媒,分拆上市意愿","元宇宙,足球,电子商务,云游戏,体育产业,NFT,手机游戏,网络游戏,电子竞技,文化传媒","抖音,腾讯,三胎","参股新三板,人民币贬值受益,分拆上市意愿"
300724.SZ,捷佳伟创,"光伏,HJT电池,芯片,深股通,TOPCON电池,集成电路,钙钛矿电池","光伏,HJT电池,芯片,TOPCON电池,集成电路,钙钛矿电池",,深股通
300859.SZ,西域旅游,"在线旅游,新疆振兴,摘帽",在线旅游,,摘帽
600868.SH,梅雁吉祥,"水利,水泥,绿色电力,智慧城市,小金属,融资融券,粤港澳大湾区,新材料","水利,水泥,绿色电力,小金属,新材料",智慧城市,融资融券
605088.SH,冠盛股份,"新能源汽车,人民币贬值受益,半年报预增,华为汽车",新能源汽车,华为汽车,"人民币贬值受益,半年报预增"
300085.SZ,银之杰,"大数据,区块链,富媒体,碳中和,华为,互联网金融,MSCI,电子商务,跨境电商,华为鲲鹏,深股通,云计算,国产软件,数字货币,融资融券,参股券商,互联网保险","大数据,区块链,富媒体,电子商务,互联网金融,跨境电商,云计算,数字货币,互联网保险","华为,华为鲲鹏,国产软件,碳中和","参股券商,深股通,MSCI,融资融券"
688379.SH,华光新材,"新能源汽车,新材料,融资融券","新材料,新能源汽车",,融资融券
300376.SZ,易事特,"大数据,军工,特高压,电力物联网,深股通,光伏,换电,特斯拉,新能源汽车,集成电路,宁德时代,储能,第三代半导体,柔性直流输电,充电桩,锂电池,ETC,智慧城市,垃圾分类,虚拟电厂,云计算,边缘计算,国产软件,数据中心","大数据,充电桩,光伏,锂电池,柔性直流输电,换电,垃圾分类,特高压,新能源汽车,ETC,虚拟电厂,电力物联网,云计算,边缘计算,数据中心,集成电路,储能,第三代半导体","军工,特斯拉,智慧城市,国产软件,宁德时代",深股通
300087.SZ,荃银高科,"农业种植,大豆,送转填权,央企国资改革,转基因,乡村振兴,粮食,深股通,玉米,俄乌冲突","农业种植,大豆,转基因,粮食,玉米","乡村振兴,央企国资改革,俄乌冲突","送转填权,深股通"
